year,district,province,count,pop_2020
2020,Chadiza,Eastern,128512,87921.94531
2020,Chama,Muchinga,143125,150378.2031
2020,Chasefu,Eastern,111113,84133.35156
2020,Chavuma,Northwestern,63772,40941.14063
2020,Chembe,Luapula,44544,30704.60156
2020,Chibombo,Central,74738,513965.5
2020,Chienge,Luapula,81789,169051.4688
2020,Chifunabuli,Luapula,92923,98767.44531
2020,Chikankata,Southern,5611,114048.4219
2020,Chilanga,Lusaka,2917,244031.2344
2020,Chililabombwe,Copperbelt,68658,106499.375
2020,Chilubi,Northern,61260,107106.2422
2020,Chingola,Copperbelt,113181,226902.625
2020,Chinsali,Muchinga,99439,137886.0313
2020,Chipangali,Eastern,169587,133419.8281
2020,Chipata,Eastern,142938,236634.4219
2020,Chipili,Luapula,28484,48874.85938
2020,Chirundu,Lusaka,4588,71401.75
2020,Chisamba,Central,33171,211248.75
2020,Chitambo,Central,82785,141698.2969
2020,Choma,Southern,11635,247608.5313
2020,Chongwe,Lusaka,21062,337449.4688
2020,Gwembe,Southern,14039,77521.48438
2020,Ikelenge,Northwestern,40904,45870.40625
2020,Isoka,Muchinga,86926,118126.1328
2020,Itezhi-tezhi,Central,17176,158816.875
2020,Kabompo,Northwestern,64761,61824.52344
2020,Kabwe,Central,58915,292503
2020,Kafue,Lusaka,10592,241907.3906
2020,Kalabo,Western,69591,103293.1406
2020,Kalomo,Southern,14709,237247.6094
2020,Kalulushi,Copperbelt,107145,135854.7813
2020,Kalumbila,Northwestern,196835,156905.9531
2020,Kanchibiya,Muchinga,50863,79467.95313
2020,Kaoma,Western,150450,150965.9219
2020,Kapiri-Mposhi,Central,169696,338920
2020,Kaputa,Northern,57095,92482.1875
2020,Kasama,Northern,200873,375986.1563
2020,Kasempa,Northwestern,114428,118133.6484
2020,Kasenengwa,Eastern,83907,132333.6406
2020,Katete,Eastern,106698,177633.4531
2020,Kawambwa,Luapula,78384,138663.4375
2020,Kazungula,Southern,10628,162234.1406
2020,Kitwe,Copperbelt,168687,458736.2188
2020,Lavushimanda,Muchinga,40351,62841.11328
2020,Limulunga,Western,36325,56695.67188
2020,Livingstone,Southern,1096,110095.6328
2020,Luampa,Western,72000,58679.96094
2020,Luangwa,Lusaka,15509,37006.19922
2020,Luano,Central,44803,67056.1875
2020,Luanshya,Copperbelt,159256,170751.8438
2020,Lufwanyama,Copperbelt,124698,162097.4375
2020,Lukulu,Western,87825,81023.49219
2020,Lumezi,Eastern,118246,118544.1641
2020,Lundazi,Eastern,96258,115984.1563
2020,Lunga,Luapula,15861,31593.93555
2020,Lunte,Northern,44490,101113.6953
2020,Lupososhi,Northern,33575,92058.78125
2020,Lusaka,Lusaka,33426,2389815.75
2020,Lusangazi,Eastern,31062,77898.125
2020,Luwingu,Northern,61046,103981.0078
2020,Mafinga,Muchinga,74863,123900.9219
2020,Mambwe,Eastern,103505,81508.78125
2020,Mansa,Luapula,231335,271302.5938
2020,Manyinga,Northwestern,93322,67375.28906
2020,Masaiti,Copperbelt,145486,183040.1875
2020,Mazabuka,Southern,3256,163914.8125
2020,Mbala,Northern,72885,174675.875
2020,Milenge,Luapula,49037,57503.09766
2020,Mitete,Western,30305,33673.07031
2020,Mkushi,Central,121827,238477.2188
2020,Mongu,Western,92595,189030.5469
2020,Monze,Southern,3384,224233.1563
2020,Mpika,Muchinga,119602,148235.6563
2020,Mpongwe,Copperbelt,175371,168097.3594
2020,Mporokoso,Northern,34689,54163.03906
2020,Mpulungu,Northern,45288,146013.9531
2020,Mufulira,Copperbelt,82916,190355.9219
2020,Mufumbwe,Northwestern,93166,85814.40625
2020,Mulobezi,Western,32189,54581.34375
2020,Mumbwa,Central,53591,302964.5313
2020,Mungwi,Northern,136784,179343.9531
2020,Mushindamo,Northwestern,52240,61512.64453
2020,Mwandi,Western,5226,50516.83203
2020,Mwansabombwe,Luapula,49820,54907.13672
2020,Mwense,Luapula,83006,108828.8672
2020,Mwinilunga,Northwestern,101409,107900.7969
2020,Nakonde,Muchinga,99998,168056.4531
2020,Nalolo,Western,32256,69251.94531
2020,Namwala,Southern,4193,142577.625
2020,Nchelenge,Luapula,149174,161032.0313
2020,Ndola,Copperbelt,171649,452313.1563
2020,Ngabwe,Central,28513,52814.09375
2020,Nkeyema,Western,65620,118883.8047
2020,Nsama,Northern,39078,67026.73438
2020,Nyimba,Eastern,137391,83644.24219
2020,Pemba,Southern,6842,91112.5625
2020,Petauke,Eastern,159820,241443.6406
2020,Rufunsa,Lusaka,63101,106124.9453
2020,Samfya,Luapula,93177,135459.875
2020,Senanga,Western,85284,103601.3125
2020,Senga,Northern,72636,181282.9688
2020,Serenje,Central,100970,152579.0781
2020,Sesheke,Western,18701,59849.41797
2020,Shang'ombo,Western,14588,83905.03906
2020,Shibuyunji,Central,5627,82079.375
2020,Shiwang'andu,Muchinga,56679,87761.92188
2020,Siavonga,Southern,9408,56421.33203
2020,Sikongo,Western,25851,58700.12109
2020,Sinazongwe,Southern,34301,118237.6563
2020,Sinda,Eastern,72864,177167.3906
2020,Sioma,Western,24567,77282.84375
2020,Solwezi,Northwestern,194119,269249.125
2020,Vubwi,Eastern,89557,37020.23047
2020,Zambezi,Northwestern,109323,96325.78125
2020,Zimba,Southern,2343,91721.875
